0.005,127.9
0.01,88.5
0.015,88.8
0.02,90.3
0.025,88.6
0.03,87.1
0.035,89.1
0.04,88.1
0.045,89.2
0.05,86.7
0.055,88.9
0.06,91.2
0.065,87.9
0.07,86.8
0.075,88.5
0.08,87.7
0.085,86.5
0.09,87.4
0.095,88.1
0.1,88.8
0.105,88.4
0.11,88.5
0.115,86.7
0.12,88.4
0.125,87.4
0.13,87.1
0.135,87.4
0.14,87.5
0.145,86.5
0.15,88.7
0.155,88.1
0.16,87.3
0.165,88.5
0.17,88.4
0.175,87.2
0.18,87.6
0.185,87.8
0.19,86.8
0.195,88.2
0.2,87.4
0.205,88.4
0.21,89.2
0.215,82.9
0.22,82.3
0.225,83.1
0.23,82.8
0.235,82.9
0.24,82.9
0.245,83.5
0.25,82.9
